City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
139,la romana,18.4273,-68.9728,24.2,94,20,0.0,DO,1733963274
140,sihanoukville,10.6093,103.5296,25.97,78,40,1.54,KH,1733963275
141,umba,66.6871,34.3429,-3.11,80,89,5.59,RU,1733963276
142,al burayqah,30.4062,19.5739,17.08,40,100,4.15,LY,1733963278
143,panaba,21.2833,-88.2667,22.42,79,83,8.29,MX,1733963279
144,lodwar,3.1191,35.5973,28.28,42,5,4.62,KE,1733963280
145,jamestown,42.097,-79.2353,0.01,84,100,8.75,US,1733962988
146,wailua homesteads,22.0669,-159.378,26.44,85,40,8.23,US,1733963282
147,freetown,8.484,-13.2299,26.12,78,2,3.12,SL,1733963283
148,novo aripuana,-5.1206,-60.3797,24.07,98,100,0.41,BR,1733963284
149,nantucket,41.2835,-70.0995,13.06,94,100,12.86,US,1733963285
150,codrington,-38.2667,141.9667,17.89,71,100,5.64,AU,1733963286
151,colchani,-20.3,-66.9333,17.8,29,73,1.81,BO,1733963287
152,bardai,11.65,7.2333,20.59,28,95,4.29,NG,1733963289
153,swakopmund,-22.6833,14.5333,16.61,94,73,2.03,NA,1733963290
154,hadibu,12.65,54.0333,24.2,69,81,7.41,YE,1733963291
155,axim,4.8699,-2.2405,26.37,86,54,3.69,GH,1733963292
156,el triunfo,-1.9333,-79.9667,31.02,51,93,2.56,EC,1733963293
157,puerto santa,-8.9906,-78.6456,18.41,87,99,4.12,PE,1733963294
158,constantia,44.1833,28.65,4.38,86,100,4.69,RO,1733963295
159,port elizabeth,-33.918,25.5701,19.62,99,40,2.06,ZA,1733963296
160,enewetak,11.3474,162.3373,27.96,81,4,9.56,MH,1733963297
161,kununurra,-15.7667,128.7333,30.99,74,75,2.06,AU,1733963299
162,udachny,66.4167,112.4,-17.05,96,100,4.34,RU,1733963300
163,howrah,22.5892,88.3103,16.0,77,63,1.54,IN,1733963301
164,mithi,24.7318,69.7981,13.89,25,17,4.16,PK,1733963302
165,la sarre,48.8002,-79.1996,-9.28,95,100,3.75,CA,1733963303
166,pisco,-13.7,-76.2167,19.03,82,0,8.23,PE,1733963304
167,kingston,17.997,-76.7936,28.53,79,40,3.6,JM,1733963029
168,mont-dore,-22.2833,166.5833,30.56,99,73,3.46,NC,1733963306
169,remire-montjoly,4.9167,-52.2667,26.02,94,100,1.03,GF,1733963308
170,badger,64.8,-147.5333,-6.86,86,75,1.54,US,1733963309
171,port douglas,-16.4833,145.4667,29.96,70,79,2.48,AU,1733963310
172,lihue,21.9789,-159.3672,26.77,69,40,8.23,US,1733963311
173,baker city,44.7749,-117.8344,-2.42,87,93,2.12,US,1733963312
174,zahedan,29.4963,60.8629,-2.05,54,0,3.09,IR,1733963313
175,crixas,-14.5489,-49.9692,23.23,88,100,1.7,BR,1733963314
176,bengkulu,-3.8004,102.2655,24.3,86,98,2.48,ID,1733963315
177,san pedro,14.35,121.0167,28.57,84,75,2.24,PH,1733963316
178,san julian,21.0167,-102.1667,19.0,44,74,3.82,MX,1733963318
179,jinghong,21.991,100.7341,13.36,90,35,1.19,CN,1733963319
180,mammoth lakes,37.6485,-118.9721,1.4,41,0,1.54,US,1733963320
181,biharamulo,-2.6319,31.3089,17.01,94,100,1.54,TZ,1733963322
182,newman,37.3138,-121.0208,15.26,34,12,1.72,US,1733963181
183,shizuishan,39.2333,106.7694,-4.82,63,100,6.55,CN,1733963324
184,ploufragan,48.4914,-2.7946,4.5,87,96,3.98,FR,1733963325
185,karratha,-20.7377,116.8463,29.58,69,100,1.53,AU,1733963326
186,puerto ayora,-0.7393,-90.3518,22.53,94,87,1.34,EC,1733963328
187,safi,32.1667,-8.8333,11.79,82,97,3.08,MA,1733963329
188,harnai,30.1005,67.9374,6.15,22,0,3.76,PK,1733963330
189,broome,42.2506,-75.833,2.52,96,100,4.12,US,1733963331
190,carnarvon,-24.8667,113.6333,26.17,80,100,4.63,AU,1733963332
191,norton,-17.8833,30.7,19.6,38,0,3.08,ZW,1733963333
192,lebu,-37.6167,-73.65,13.27,82,0,7.26,CL,1733963151
193,ust-nera,64.5667,143.2,-33.44,99,97,0.48,RU,1733963095
194,prince rupert,54.3161,-130.3201,8.83,66,0,8.75,CA,1733963338
195,mwene-ditu,-7.0,23.45,18.96,98,100,1.46,CD,1733963339
196,najran,17.4924,44.1277,9.8,48,0,1.03,SA,1733963340
197,anguera,-12.151,-39.2453,25.09,69,77,4.06,BR,1733963341
198,altay,47.8667,88.1167,-19.45,71,70,3.0,CN,1733963342
199,kamakwie,9.5,-12.2333,22.77,79,24,1.79,SL,1733963344
200,malango,-2.9627,119.9001,21.18,96,100,0.58,ID,1733963345
201,okha,53.5739,142.9478,-11.12,88,96,5.69,RU,1733963346
202,el matama,16.7095,33.3565,23.93,48,0,3.87,SD,1733963347
203,sao tome,0.3365,6.7273,26.41,79,41,2.31,ST,1733963348
204,vila velha,-20.3297,-40.2925,21.08,97,100,1.54,BR,1733963181
205,loei,17.4167,101.5,15.65,96,39,1.06,TH,1733963350
206,chonchi,-42.6128,-73.8092,14.51,77,48,1.39,CL,1733963351
207,glace bay,46.1969,-59.957,10.05,99,100,5.66,CA,1733963353
208,mana,5.6592,-53.7767,25.8,86,9,4.35,GF,1733963354
209,molepolole,-24.4066,25.4951,23.0,48,91,2.88,BW,1733963355
210,waingapu,-9.6567,120.2641,28.48,72,94,0.83,ID,1733963356
211,omidiyeh,30.7597,49.705,10.93,71,69,0.0,IR,1733963357
212,garzon,2.1959,-75.6278,22.38,88,83,1.86,CO,1733963227
213,huarmey,-10.0681,-78.1522,20.3,80,92,4.68,PE,1733963359
214,paragominas,-2.9667,-47.4833,23.06,95,92,1.43,BR,1733963262
215,uturoa,-16.7333,-151.4333,23.78,89,100,7.14,PF,1733963361
216,acapulco de juarez,16.8634,-99.8901,28.9,74,40,2.06,MX,1733963363
217,rio claro,-22.4114,-47.5614,19.88,77,38,4.9,BR,1733963173
218,san fernando,15.0286,120.6898,27.85,77,99,3.41,PH,1733963365
219,rongelap,11.1635,166.8941,27.88,75,8,9.0,MH,1733963366
220,namibe,-15.1961,12.1522,25.41,70,100,4.61,AO,1733963313
221,novi grad,45.0458,16.3803,2.23,86,100,0.3,BA,1733963368
222,izyum,49.2088,37.2485,4.01,91,100,2.68,UA,1733963369
223,kolokani,13.5728,-8.0339,23.99,31,11,2.64,ML,1733963372
224,augusto correa,-1.0217,-46.635,24.94,90,85,0.94,BR,1733963373
225,lichinga,-13.3128,35.2406,18.59,73,60,2.01,MZ,1733963375
226,puerto aysen,-45.4,-72.7,11.72,93,48,2.05,CL,1733963376
227,an muileann gcearr,53.5333,-7.35,2.2,87,95,2.07,IE,1733963377
228,porto novo,6.4965,2.6036,28.9,83,100,3.5,BJ,1733963378
